ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,depth,depth_log,depth_sqr
CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,2,3.21,1.1662709371419244,1.7916472867168918
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,5.2,1.6486586255873816,2.280350850198276
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,5.31,1.6695918352538475,2.3043437243605824
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,7.08,1.9572739077056285,2.6608269391300143
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,5.94,1.7817091333745536,2.4372115213907883
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,5.5,1.7047480922384253,2.345207879911715
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,4.95,1.599387576580599,2.224859546128699
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,4.95,1.599387576580599,2.224859546128699
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,4.22,1.4398351280479205,2.0542638584174138
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,4.72,1.5518087995974639,2.172556098240043
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,4.32,1.463255402256019,2.078460969082653
CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,4.89,1.5871923034867805,2.211334438749598
CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,4.23,1.4422019930581866,2.0566963801203135
CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,5.24,1.6563214983329508,2.2891046284519194
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.17,1.4279160358107101,2.0420577856662137
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.48,1.4996230464268938,2.1166010488516727
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.78,1.5644405465033646,2.186321110907545
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.32,1.463255402256019,2.078460969082653
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,5.1,1.62924053973028,2.258317958127243
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,5.03,1.6154199841116479,2.2427661492005804
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.55,1.5151272329628591,2.1330729007701543
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,5.09,1.6272778305624314,2.2561028345356955
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.63,1.5325568680981427,2.151743479135001
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.04,1.3962446919730587,2.009975124224178
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.79,1.5665304114228238,2.188606862823929
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,5,1.6094379124341003,2.23606797749979
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.1,1.410986973710262,2.0248456731316584
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,2.62,0.9631743177730056,1.6186414056238645
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,5.58,1.7191887763932197,2.3622023622035435
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,5.73,1.7457155307266483,2.3937418407171647
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,4.64,1.534714366238164,2.1540659228538015
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,5.16,1.6409365794934714,2.2715633383201093
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,4.93,1.5953389880545987,2.2203603311174516
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,4.04,1.3962446919730587,2.009975124224178
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,4.46,1.4951487660319727,2.1118712081942874
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.4,1.6863989535702288,2.32379000772445
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,4.11,1.4134230285081433,2.0273134932713295
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,3.6,1.2809338454620642,1.8973665961010275
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,3.87,1.3532545070416904,1.9672315572906003
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,3.99,1.3837912309017721,1.997498435543818
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,4.12,1.415853163361435,2.029778313018444
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,3.26,1.1817271953786161,1.8055470085267789
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.74,1.747459210331475,2.3958297101421877
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.06,1.6213664832993742,2.2494443758403984
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.32,1.6714733033535532,2.3065125189341593
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.23,1.6544112780768316,2.2869193252058544
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.99,1.7900914121273581,2.4474476501040834
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,3.75,1.3217558399823195,1.9364916731037085
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,4.83,1.5748464676644813,2.1977260975835913
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,4.59,1.5238800240724537,2.142428528562855
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,4.83,1.5748464676644813,2.1977260975835913
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.06,1.6213664832993742,2.2494443758403984
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.12,1.6331544390514163,2.262741699796952
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.74,1.747459210331475,2.3958297101421877
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,4.94,1.5973653311998313,2.222611077089287
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,4.01,1.3887912413184778,2.0024984394500787
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,5.28,1.6639260977181702,2.2978250586152114
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,4.12,1.415853163361435,2.029778313018444
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,5.03,1.6154199841116479,2.2427661492005804
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,4.61,1.5282278570085572,2.147091055358389
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,4.76,1.5602476682433286,2.181742422927143
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,5.14,1.6370530794670737,2.2671568097509267
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,4.46,1.4951487660319727,2.1118712081942874
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,4.04,1.3962446919730587,2.009975124224178
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,4.42,1.4861396960896067,2.1023796041628637
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,4.03,1.3937663759585917,2.0074859899884734
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,4.85,1.5789787049493917,2.202271554554524
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,3.57,1.2725655957915476,1.8894443627691184
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,4.77,1.5623463049002497,2.1840329667841556
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.87,1.5830939370944985,2.2068076490713913
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.84,1.5769147207285403,2.2
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.33,1.4655675420143985,2.080865204668481
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.71,1.5496879080283263,2.1702534414210706
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5,1.6094379124341003,2.23606797749979
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,6.39,1.8547342683894434,2.5278449319529077
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.29,1.665818245870208,2.3
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,6.03,1.7967470107390942,2.455605831561735
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.52,1.5085119938441398,2.1260291625469296
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.52,1.5085119938441398,2.1260291625469296
