ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,flower_num,petal_length,petal_length_log,petal_length_sqr,country,province_state,location,latitude,longitude,scale,Herbarium,collection.date,collector,collection.no,Coordinate.notes,Measurer_note
1,1550295,1930,Africa,mainland,NA,NA,NA,NA,1,16.132,2.780804877,4.016466108,Angola,NA,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,NA,ex herb. Servicos de Agricultura de Angola,s.n.,NA,NA
2,1550295,1930,Africa,mainland,NA,NA,NA,NA,2,15.631,2.749256122,3.953605949,Angola,NA,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,NA,ex herb. Servicos de Agricultura de Angola,s.n.,NA,NA
3,2819889,1974,Africa,mainland,NA,NA,NA,NA,1,17.569,2.866135985,4.191539097,Ethiopia,Sidamo,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA
4,2819889,1974,Africa,mainland,NA,NA,NA,NA,2,15.552,2.744189248,3.943602414,Ethiopia,Sidamo,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA
5,2819889,1974,Africa,mainland,NA,NA,NA,NA,3,17.304,2.850937689,4.159807688,Ethiopia,Sidamo,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA
6,1379072,1928,Africa,mainland,NA,NA,NA,NA,1,18.549,2.920415879,4.306855001,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,NA,NA
7,1379072,1928,Africa,mainland,NA,NA,NA,NA,2,21.384,3.062642979,4.624283728,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,NA,NA
8,1379125,1928,Africa,mainland,NA,NA,NA,NA,1,19.66,2.978586115,4.433959855,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",57,NA,NA
9,1529409,1931,Africa,mainland,NA,NA,NA,NA,1,16.667,2.813430717,4.082523729,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,NA,NA
10,1529409,1931,Africa,mainland,NA,NA,NA,NA,2,17.848,2.881891457,4.224689338,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,NA,NA
11,1529409,1931,Africa,mainland,NA,NA,NA,NA,3,12.661,2.538526403,3.558229897,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,NA,NA
12,1529451,1930,Africa,mainland,NA,NA,NA,NA,1,24.691,3.206438805,4.969003924,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,NA
13,1529451,1930,Africa,mainland,NA,NA,NA,NA,2,21.372,3.062081654,4.622986048,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,NA
14,1529451,1930,Africa,mainland,NA,NA,NA,NA,3,26.831,3.289557935,5.179864863,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,NA
15,2776546,1968,Africa,island,other,Aldabra,NA,NA,1,10.681,2.368466462,3.268179922,Seychelles,NA,Aldabra: West Island. Settlement.,-9.381938,46.218295,21.2513,Smithsonian,20-Mar-68,"Renvoize, S. A.",1351,NA,NA
16,2776547,1967,Africa,island,other,Assumption,NA,NA,1,10.102,2.312733424,3.178364359,Seychelles,NA,South-West Indian Ocean. Assumption Island. Traverse of island.,-9.729705,46.514756,21.2513,Smithsonian,16-Sep-67,"Stoddart, D. R.",1080,NA,NA
17,2776548,1968,Africa,island,other,Cosmoledo,NA,NA,1,10.289,2.331075363,3.207647113,Seychelles,NA,Aldabra. Cosmoledo: Wizard Island.,-9.719911,47.577558,21.2513,Smithsonian,6-Mar-68,"Renvoize, S. A.",1225,NA,NA
18,2810786,1974,Africa,mainland,NA,NA,NA,NA,1,12.349,2.513575088,3.514114398,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,NA,NA
19,2810786,1974,Africa,mainland,NA,NA,NA,NA,2,11.549,2.446598853,3.398381968,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,NA,NA
20,2810861,1974,Africa,mainland,NA,NA,NA,NA,1,13.646,2.613446438,3.694049269,Tanzania,Tanga,"Mbigiri (Zanzitari) South of Mto Kama, 12 km south of Mkwaja Tanga Region.",-5.093046,39.0947,21.2513,Smithsonian,13-Sep-74,"Frazier, J.",1117,NA,NA
21,3145,1934,Africa,island,other,Barlavento Islands,NA,NA,1,15.161,2.718726341,3.893712881,Cape Verde,NA,"Monte Verde, São Vicente island",16.8684276,-24.9329397,18.2528,HUH,17-Oct,Max Dinklage,3145,NA,NA
22,09.31.45 228,1964,Africa,mainland,NA,NA,NA,NA,1,23.821,3.170567545,4.880676183,Ghana,Greater Accra,"Ring road roundabout, Accra",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,NA,NA,NA
23,09.31.45 228,1964,Africa,mainland,NA,NA,NA,NA,2,21.049,3.046853053,4.587918918,Ghana,Greater Accra,"Ring road roundabout, Accra",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,NA,NA,NA
24,09.31.45 228,1964,Africa,mainland,NA,NA,NA,NA,3,23.888,3.173376241,4.887535166,Ghana,Greater Accra,"Ring road roundabout, Accra",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,NA,NA,segmented from stem
25,09.31.36 226,1973,Africa,island,other,Tanzanian archipelago of Zanzibar,NA,NA,1,11.666,2.456678628,3.415552664,Tanzania,Rufiji ," Shungu Mbili, a private Island just off Mafia Island ",-7.7,39.683333,18.2528,HUH,31-Oct,J. Frazier,NA,Provided with DDM coordinates,NA
26,09.31.39 227,1974,Africa,island,other,NA,NA,NA,1,10.533,2.354513186,3.245458365,Tanzania,Zanzibar ,"South of Mto Kama, 12km south of Mkwaja Tanga region",NA,NA,18.2528,HUH,13-Sep,J. Frazier,1117,Unclear about location,only flower- already used (1117) so file name used
27,2324,1953,Asia,island,other,Philippines,NA,NA,1,16.636,2.811569022,4.078725291,Philipines,NA,NA,NA,NA,18.2528,HUH,3-Apr,NA,NA,NA,NA
