ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,leaf_num,leaf_length,number_of_leaflets,country,province_state,location,latitude,longitude,scale,herbarium,date,collector,collection.no,coordinate.notes,measurer_note,leaf_length_log,leaf_length_sqr
1,1550295,1930,Africa,mainland,NA,NA,NA,NA,1,16.941,14,Angola,NA,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,1930,ex herb. Servicos de Agricultura de Angola,s.n.,NA,NA,2.829736719,4.115944606
2,1550295,1930,Africa,mainland,NA,NA,NA,NA,2,34.014,14,Angola,NA,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,1930,ex herb. Servicos de Agricultura de Angola,s.n.,NA,1 leaf down the flower,3.526772205,5.832152261
3,2819889,1974,Africa,mainland,NA,NA,NA,NA,1,46.498,10,Ethiopia,NA,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA,3.839409301,6.8189442
4,2819889,1974,Africa,mainland,NA,NA,NA,NA,2,48.775,10,Ethiopia,NA,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA,3.887217887,6.98391008
5,2819889,1974,Africa,mainland,NA,NA,NA,NA,3,53.393,12,Ethiopia,NA,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA,3.977679651,7.307051389
6,1379072,1928,Africa,mainland,NA,NA,NA,NA,1,43.102,14,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,NA,NA,3.7635694,6.565211345
7,1379072,1928,Africa,mainland,NA,NA,NA,NA,2,44.735,14,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,NA,1 leaf down the flower,3.800756193,6.688422834
8,1379125,1928,Africa,mainland,NA,NA,NA,NA,1,16.7,11,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",57,NA,NA,2.815408719,4.086563348
9,1529409,1931,Africa,mainland,NA,NA,NA,NA,1,33.46,16,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,NA,1 leaf down the flower,3.510350696,5.784461946
10,1529409,1931,Africa,mainland,NA,NA,NA,NA,2,43.827,16,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,NA,NA,3.780250066,6.620196372
11,1529409,1931,Africa,mainland,NA,NA,NA,NA,3,40.325,14,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,NA,NA,3.696971624,6.350196847
12,1529451,1930,Africa,mainland,NA,NA,NA,NA,1,45.937,14,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,NA,3.827270893,6.77768397
13,1529451,1930,Africa,mainland,NA,NA,NA,NA,2,38.082,16,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,1 leaf down the flower,3.63974173,6.171061497
14,2776546,1968,Africa,island,other,Aldabra,NA,NA,1,46.266,10,Seychelles,NA,Aldabra: West Island. Settlement.,-9.381938,46.218295,21.2513,Smithsonian,20-Mar-68,"Renvoize, S. A.",1351,NA,NA,3.83440735,6.801911496
15,2776547,1967,Africa,island,other,Assumption,NA,NA,1,31.654,10,Seychelles,NA,South-West Indian Ocean. Assumption Island. Traverse of island.,-9.729705,46.514756,21.2513,Smithsonian,16-Sep-67,"Stoddart, D. R.",1080,NA,NA,3.454864523,5.626188763
16,2776548,1968,Africa,island,other,Cosmoledo,NA,NA,1,39.945,12,Seychelles,NA,Aldabra. Cosmoledo: Wizard Island.,-9.719911,47.577558,21.2513,Smithsonian,6-Mar-68,"Renvoize, S. A.",1225,NA,NA,3.687503508,6.320205693
17,2810786,1974,Africa,mainland,NA,NA,NA,NA,1,25.435,14,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,NA,NA,3.236126178,5.043312404
18,2810786,1974,Africa,mainland,NA,NA,NA,NA,2,29.54,14,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,NA,NA,3.385745277,5.435071297
19,2810861,1974,Africa,mainland,NA,NA,NA,NA,1,18.289,12,Tanzania,Tanga,"Mbigiri (Zanzitari) South of Mto Kama, 12 km south of Mkwaja Tanga Region.",-5.093046,39.0947,21.2513,Smithsonian,13-Sep-74,"Frazier, J.",1117,NA,NA,2.906299786,4.276564041
