ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,leaf_num,leaflet_length,number_of_leaflets,country,province_state,location,latitude,longitude,scale,herbarium,date,collector,collection.no,coordinate.notes,measurer_note,leaflet_length_log,leaflet_length_sqr
1,1550295,1930,Africa,mainland,NA,NA,NA,NA,1,4.735,14,Angola,NA,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,1930,ex herb. Servicos de Agricultura de Angola,s.n.,NA,NA,1.554981727,2.176005515
2,1550295,1930,Africa,mainland,NA,NA,NA,NA,2,9.34,14,Angola,NA,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,1930,ex herb. Servicos de Agricultura de Angola,s.n.,NA,1 leaf down the flower,2.234306252,3.056141358
3,2819889,1974,Africa,mainland,NA,NA,NA,NA,1,18.184,10,Ethiopia,NA,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA,2.900542087,4.26427016
4,2819889,1974,Africa,mainland,NA,NA,NA,NA,2,17.414,10,Ethiopia,NA,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA,2.85727448,4.173008507
5,2819889,1974,Africa,mainland,NA,NA,NA,NA,3,22.973,12,Ethiopia,NA,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA,3.134319613,4.793015752
6,1379072,1928,Africa,mainland,NA,NA,NA,NA,1,8.25,14,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,NA,NA,2.1102132,2.872281323
7,1379072,1928,Africa,mainland,NA,NA,NA,NA,2,11.628,14,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,NA,1 leaf down the flower,2.453415983,3.409985337
8,1379125,1928,Africa,mainland,NA,NA,NA,NA,1,5.715,11,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",57,NA,NA,1.743094297,2.390606618
9,1529409,1931,Africa,mainland,NA,NA,NA,NA,1,6.893,16,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,NA,1 leaf down the flower,1.930506404,2.625452342
10,1529409,1931,Africa,mainland,NA,NA,NA,NA,2,10.576,16,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,NA,NA,2.358587283,3.25207626
11,1529409,1931,Africa,mainland,NA,NA,NA,NA,3,7.799,14,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,NA,NA,2.05399552,2.792668974
12,1529451,1930,Africa,mainland,NA,NA,NA,NA,1,12.633,14,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,NA,2.536312438,3.554293179
13,1529451,1930,Africa,mainland,NA,NA,NA,NA,2,10.328,16,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,1 leaf down the flower,2.334858654,3.213720585
14,2776546,1968,Africa,island,other,Aldabra,NA,NA,1,14.178,10,Seychelles,NA,Aldabra: West Island. Settlement.,-9.381938,46.218295,21.2513,Smithsonian,20-Mar-68,"Renvoize, S. A.",1351,NA,NA,2.651691467,3.765368508
15,2776547,1967,Africa,island,other,Assumption,NA,NA,1,11.171,10,Seychelles,NA,South-West Indian Ocean. Assumption Island. Traverse of island.,-9.729705,46.514756,21.2513,Smithsonian,16-Sep-67,"Stoddart, D. R.",1080,NA,NA,2.413321135,3.342304594
16,2776548,1968,Africa,island,other,Cosmoledo,NA,NA,1,8.685,12,Seychelles,NA,Aldabra. Cosmoledo: Wizard Island.,-9.719911,47.577558,21.2513,Smithsonian,6-Mar-68,"Renvoize, S. A.",1225,NA,NA,2.1615974,2.947032406
17,2810786,1974,Africa,mainland,NA,NA,NA,NA,1,7.793,14,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,NA,NA,2.053225895,2.791594526
18,2810786,1974,Africa,mainland,NA,NA,NA,NA,2,8.506,14,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,NA,NA,2.140771797,2.916504757
19,2810861,1974,Africa,mainland,NA,NA,NA,NA,1,5.926,12,Tanzania,Tanga,"Mbigiri (Zanzitari) South of Mto Kama, 12 km south of Mkwaja Tanga Region.",-5.093046,39.0947,21.2513,Smithsonian,13-Sep-74,"Frazier, J.",1117,NA,NA,1.779349449,2.434337692
20,3145,1934,Africa,island,other,Barlavento Islands,NA,NA,1,6.929,14,Cape Verde,NA,"Monte Verde, São Vicente island",16.8684276,-24.9329397,18.2528,HUH,17-Oct,Max Dinklage,3145,NA,NA,1.935715503,2.632299375
21,09.31.45 228,1964,Africa,mainland,NA,NA,NA,NA,1,10.633,15,Ghana,Greater Accra,"Ring road roundabout, Accra",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,NA,NA,leaf at first node,2.363962373,3.260828116
22,09.31.45 228,1964,Africa,mainland,NA,NA,NA,NA,2,4.546,14,Ghana,Greater Accra,"Ring road roundabout, Accra",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,NA,NA,leaf at first node,1.514247725,2.13213508
23,09.31.45 228,1964,Africa,mainland,NA,NA,NA,NA,3,5.956,13,Ghana,Greater Accra,"Ring road roundabout, Accra",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,NA,NA,estimated where flower was to find leaf,1.784399115,2.440491754
24,09.31.36 226,1973,Africa,island,other,Tanzanian archipelago of Zanzibar,NA,NA,1,8.346,10,Tanzania,Rufiji ," Shungu Mbili, a private Island just off Mafia Island ",-7.7,39.683333,18.2528,HUH,31-Oct,J. Frazier,NA,Provided with DDM coordinates,leaf at first node- rest of leaves bunched together,2.121782382,2.888944444
25,09.31.39 227,1974,Africa,mainland,NA,Tanzanian archipelago of Zanzibar,NA,NA,1,5.404,12,Tanzania,Zanzibar ,"South of Mto Kama, 12km south of Mkwaja Tanga region",NA,NA,18.2528,HUH,13-Sep,J. Frazier,1117,Unclear about location,NA,1.68713942,2.324650511
26,2324,1953,Asia,island,other,Philippines,NA,NA,1,10.314,11,Philippines,NA,NA,NA,NA,18.2528,HUH,3-Apr,NA,NA,NA,NA,2.333502196,3.211541686
27,2324,1953,Asia,island,other,Philippines,NA,NA,2,10.51,14,Philippines,NA,NA,NA,NA,18.2528,HUH,3-Apr,NA,NA,NA,NA,2.352327185,3.241913015
28,706203,1908,Asia,island,other,Philippines,NA,NA,1,9.22,14,Philippines,NA,Tayabas.,14.040984,121.630902,21.2584,Smithsonian,Apr,"Curran, H. M.",Forestry Bureau 1115,NA,NA,2.221375038,3.03644529
