ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,depth,depth_log,depth_sqr
1,CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,1,1,3.21,1.1662709371419244,1.7916472867168918
2,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,1,5.2,1.6486586255873816,2.280350850198276
3,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,2,5.31,1.6695918352538475,2.3043437243605824
4,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,3,7.08,1.9572739077056285,2.6608269391300143
5,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,4,5.94,1.7817091333745536,2.4372115213907883
6,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,5,5.5,1.7047480922384253,2.345207879911715
7,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,6,4.95,1.599387576580599,2.224859546128699
8,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,7,4.95,1.599387576580599,2.224859546128699
9,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,8,4.22,1.4398351280479205,2.0542638584174138
10,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,9,4.72,1.5518087995974639,2.172556098240043
11,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,10,4.32,1.463255402256019,2.078460969082653
12,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,4.89,1.5871923034867805,2.211334438749598
13,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,4.23,1.4422019930581866,2.0566963801203135
14,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,5.24,1.6563214983329508,2.2891046284519194
15,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,1,4.17,1.4279160358107101,2.0420577856662137
16,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,2,4.48,1.4996230464268938,2.1166010488516727
17,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,3,4.78,1.5644405465033646,2.186321110907545
18,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,4,4.32,1.463255402256019,2.078460969082653
19,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,5,5.1,1.62924053973028,2.258317958127243
20,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,6,5.03,1.6154199841116479,2.2427661492005804
21,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,7,4.55,1.5151272329628591,2.1330729007701543
22,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,8,5.09,1.6272778305624314,2.2561028345356955
23,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,9,4.63,1.5325568680981427,2.151743479135001
24,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,10,4.04,1.3962446919730587,2.009975124224178
25,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,11,4.79,1.5665304114228238,2.188606862823929
26,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,12,5,1.6094379124341003,2.23606797749979
27,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,13,4.1,1.410986973710262,2.0248456731316584
28,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,14,2.62,0.9631743177730056,1.6186414056238645
29,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,1,5.58,1.7191887763932197,2.3622023622035435
30,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,2,5.73,1.7457155307266483,2.3937418407171647
31,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,3,4.64,1.534714366238164,2.1540659228538015
32,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,4,5.16,1.6409365794934714,2.2715633383201093
33,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,5,4.93,1.5953389880545987,2.2203603311174516
34,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,1,4.04,1.3962446919730587,2.009975124224178
35,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,2,4.46,1.4951487660319727,2.1118712081942874
36,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,3,5.4,1.6863989535702288,2.32379000772445
37,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,4,4.11,1.4134230285081433,2.0273134932713295
38,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,5,3.6,1.2809338454620642,1.8973665961010275
39,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,6,3.87,1.3532545070416904,1.9672315572906003
40,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,7,3.99,1.3837912309017721,1.997498435543818
41,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,8,4.12,1.415853163361435,2.029778313018444
42,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,9,3.26,1.1817271953786161,1.8055470085267789
43,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,10,5.74,1.747459210331475,2.3958297101421877
44,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,11,5.06,1.6213664832993742,2.2494443758403984
45,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,12,5.32,1.6714733033535532,2.3065125189341593
46,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,13,5.23,1.6544112780768316,2.2869193252058544
47,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,14,5.99,1.7900914121273581,2.4474476501040834
48,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,15,3.75,1.3217558399823195,1.9364916731037085
49,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,1,4.83,1.5748464676644813,2.1977260975835913
50,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,2,4.59,1.5238800240724537,2.142428528562855
51,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,3,4.83,1.5748464676644813,2.1977260975835913
52,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,4,5.06,1.6213664832993742,2.2494443758403984
53,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,5,5.12,1.6331544390514163,2.262741699796952
54,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,6,5.74,1.747459210331475,2.3958297101421877
55,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,7,4.94,1.5973653311998313,2.222611077089287
56,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,8,4.01,1.3887912413184778,2.0024984394500787
57,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,1,5.28,1.6639260977181702,2.2978250586152114
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,4.12,1.415853163361435,2.029778313018444
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,5.03,1.6154199841116479,2.2427661492005804
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,4.61,1.5282278570085572,2.147091055358389
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,4.76,1.5602476682433286,2.181742422927143
62,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,5.14,1.6370530794670737,2.2671568097509267
63,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,4.46,1.4951487660319727,2.1118712081942874
64,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,4.04,1.3962446919730587,2.009975124224178
65,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,4.42,1.4861396960896067,2.1023796041628637
66,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,4.03,1.3937663759585917,2.0074859899884734
67,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,4.85,1.5789787049493917,2.202271554554524
68,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,3.57,1.2725655957915476,1.8894443627691184
