ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,spine_length,spine_length_log,spine_length_sqr
1,CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,1,1,3.29,1.4562867329399256,1.8138357147217055
2,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,1,0,0,0
3,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,2,0,0,0
4,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,3,0,0,0
5,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,4,0,0,0
6,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,5,0,0,0
7,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,6,4.01,1.6114359150967734,2.0024984394500787
8,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,7,4.07,1.623340817603092,2.0174241001832014
9,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,8,2.81,1.3376291891386096,1.676305461424021
10,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,9,3.5,1.5040773967762742,1.8708286933869707
11,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,10,2.55,1.2669476034873244,1.5968719422671311
12,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,4.13,1.6351056591826783,2.0322401432901573
13,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,4.11,1.631199404215613,2.0273134932713295
14,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,6.88,2.064327903869788,2.6229754097208002
15,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,1,1.96,1.085189268335969,1.4
16,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,2,3.13,1.4182774069729414,1.7691806012954132
17,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,3,2.77,1.3270750014599193,1.6643316977093239
18,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,4,3.48,1.4996230464268938,1.865475810617763
19,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,5,3.19,1.4327007339340463,1.786057109949175
20,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,6,2.21,1.1662709371419244,1.4866068747318506
21,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,7,3.75,1.55814461804655,1.9364916731037085
22,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,8,3.32,1.463255402256019,1.8220867158288598
23,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,9,2.78,1.3297240096314962,1.6673332000533065
24,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,10,1.93,1.0750024230289759,1.3892443989449805
25,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,11,2.9,1.3609765531356006,1.70293863659264
26,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,12,3.11,1.413423028508143,1.7635192088548397
27,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,13,2.78,1.3297240096314962,1.6673332000533065
28,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,14,2,1.0986122886681098,1.4142135623730951
29,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,1,3.94,1.597365331199831,1.9849433241279208
30,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,2,4.62,1.7263316639055997,2.149418526020468
31,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,3,3.32,1.463255402256019,1.8220867158288598
32,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,4,3.64,1.534714366238164,1.9078784028338913
33,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,5,4.15,1.6389967146756448,2.0371548787463363
34,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,1,0,0,0
35,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,2,0,0,0
36,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,3,0,0,0
37,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,4,0,0,0
38,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,5,0,0,0
39,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,6,0,0,0
