ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,spine_num
1,CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,1,1,2
2,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,1,2
3,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,2,2
4,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,3,2
5,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,4,2
6,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,5,2
7,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,6,4
8,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,7,4
9,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,8,4
10,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,9,4
11,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,10,4
12,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,4
13,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,4
14,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,4
15,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,1,2
16,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,2,2
17,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,3,2
18,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,4,2
19,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,5,2
20,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,6,2
21,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,7,2
