ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,tip_distance,tip_distance_log,tip_distance_sqr
1,CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,1,1,7.61,2.152924318439639,2.7586228448267445
2,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,1,0,0,0
3,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,2,0,0,0
4,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,3,0,0,0
5,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,4,0,0,0
6,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,5,0,0,0
7,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,6,5.55,1.8794650496471605,2.355843797877949
8,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,7,6.31,1.9892432737616872,2.511971337416094
9,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,8,5.85,1.9242486522741338,2.4186773244895647
10,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,9,6.77,2.050270164379556,2.6019223662515376
11,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,10,3.76,1.5602476682433286,1.9390719429665315
12,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,9.14,2.316487998163037,3.023243291566195
13,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,8.34,2.234306252240751,2.8879058156387303
14,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,13.32,2.6616571615324998,3.6496575181789317
15,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,1,4.94,1.7817091333745536,2.222611077089287
16,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,2,6,1.9459101490553132,2.449489742783178
17,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,3,6.57,2.0241930674493576,2.563201123595259
18,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,4,5.73,1.9065751436566365,2.3937418407171647
19,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,5,6.73,2.0451088625993306,2.5942243542145698
20,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,6,6.17,1.969905654611529,2.483948469674844
21,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,7,7.12,2.0943301541735866,2.6683328128252666
22,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,8,6.21,1.9754689512968577,2.4919871588754225
23,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,9,6.66,2.0360119837525,2.5806975801127883
24,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,10,4.21,1.6505798557652755,2.0518284528683193
25,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,11,7.13,2.0955609235597192,2.670205984563738
26,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,12,6.38,1.998773638612381,2.5258661880630178
27,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,13,5.16,1.8180767775454285,2.2715633383201093
28,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,14,3.55,1.5151272329628591,1.8841443681416772
29,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,1,9.16,2.318458442150336,3.026549190084311
30,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,2,8.77,2.2793164660546914,2.9614185789921694
31,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,3,6.3,1.9878743481543455,2.5099800796022267
32,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,4,7.98,2.194999882314108,2.824889378365107
33,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,5,7.99,2.196112848483529,2.826658805020514
34,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,1,0,0,0
35,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,2,0,0,0
36,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,3,0,0,0
37,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,4,0,0,0
38,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,5,0,0,0
39,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,6,0,0,0
