ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,width,width_log,width_sqr
1,CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,1,1,1.91,0.6471032420585384,1.3820274961085253
2,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,1,5.28,1.6639260977181702,2.2978250586152114
3,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,2,4.48,1.4996230464268938,2.1166010488516727
4,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,3,3.93,1.3686394258811698,1.982422760159901
5,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,4,4.78,1.5644405465033646,2.186321110907545
6,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,1,5,5.03,1.6154199841116479,2.2427661492005804
7,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,6,2.74,1.007957920399979,1.6552945357246849
8,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,7,2.93,1.075002423028976,1.711724276862369
9,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,8,2.53,0.9282193027394288,1.5905973720586866
10,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,9,2.66,0.9783261227936078,1.6309506430300091
11,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,0,10,2.44,0.8919980393051105,1.5620499351813308
12,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,2.93,1.075002423028976,1.711724276862369
13,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,2.78,1.0224509277025455,1.6673332000533065
14,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,3.36,1.2119409739751128,1.833030277982336
15,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,1,2.13,0.7561219797213337,1.4594519519326423
16,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,2,2.78,1.0224509277025455,1.6673332000533065
17,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,3,2.8,1.0296194171811581,1.6733200530681511
18,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,4,2.62,0.9631743177730056,1.6186414056238645
19,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,5,2.99,1.095273387402595,1.7291616465790582
20,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,6,3.18,1.1568811967920856,1.783255450012701
21,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,7,2.38,0.8671004876833833,1.5427248620541512
22,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,8,2.78,1.0224509277025455,1.6673332000533065
23,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,9,2.11,0.7466879474879751,1.452583904633395
24,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,10,2.17,0.7747271675523681,1.4730919862656235
25,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,11,2.51,0.9202827531436925,1.5842979517754858
26,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,12,2.67,0.9820784724121582,1.6340134638368191
27,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,13,2.58,0.9477893989335261,1.606237840420901
28,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,14,1.88,0.6312717768418578,1.3711309200802089
29,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,1,3.79,1.332366019094335,1.9467922333931784
30,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,2,3.94,1.3711807233098425,1.9849433241279208
31,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,3,2.67,0.9820784724121582,1.6340134638368191
32,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,4,3.7,1.308332819650179,1.9235384061671346
33,CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,0,5,4.12,1.415853163361435,2.029778313018444
34,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,1,3.49,1.2499017362143359,1.8681541692269406
35,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,2,3.83,1.3428648031925547,1.9570385790780926
36,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,3,3.97,1.3787660946990992,1.9924858845171276
37,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,4,2.59,0.9516578757114463,1.6093476939431082
38,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,5,2.26,0.8153648132841944,1.5033296378372907
39,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,6,3.37,1.2149127443642704,1.835755975068582
40,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,7,2.78,1.0224509277025455,1.6673332000533065
41,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,8,2.01,0.6981347220709843,1.4177446878757824
42,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,9,1.65,0.5007752879124892,1.284523257866513
43,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,10,3.96,1.3762440252663892,1.98997487421324
44,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,11,3.26,1.1817271953786161,1.8055470085267789
45,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,12,3.75,1.3217558399823195,1.9364916731037085
46,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,13,3.7,1.308332819650179,1.9235384061671346
47,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,14,5.12,1.6331544390514163,2.262741699796952
48,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,15,2.5,0.9162907318741551,1.5811388300841898
49,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,1,3.11,1.1346227261911428,1.7635192088548397
50,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,2,2.46,0.9001613499442714,1.5684387141358123
51,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,3,3.18,1.1568811967920856,1.783255450012701
52,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,4,2.81,1.0331844833456545,1.676305461424021
53,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,5,2.89,1.0612565021243408,1.7
54,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,6,3.21,1.1662709371419244,1.7916472867168918
55,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,7,2.93,1.075002423028976,1.711724276862369
56,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,8,2.61,0.959350221334602,1.6155494421403511
57,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,1,2.93,1.075002423028976,1.711724276862369
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,2.64,0.9707789171582248,1.624807680927192
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,2.71,0.9969486348916096,1.6462077633154328
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,3.16,1.1505720275988207,1.7776388834631178
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,2.87,1.0543120297715298,1.6941074346097416
62,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,3.31,1.1969481893889715,1.8193405398660252
63,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,2.82,1.0367368849500223,1.6792855623746665
64,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,2.2,0.7884573603642703,1.4832396974191326
65,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,2.85,1.0473189942805592,1.6881943016134133
66,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,2.24,0.8064758658669485,1.4966629547095767
67,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,3.38,1.2178757094949273,1.8384776310850235
68,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,2.01,0.6981347220709843,1.4177446878757824
69,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,2,1.67,0.5128236264286637,1.2922847983320085
70,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,1,4.47,1.4973884086254774,2.1142374511865976
71,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,2,4.44,1.4906543764441336,2.1071307505705477
72,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,3,3.2,1.1631508098056809,1.7888543819998317
73,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,4,3.75,1.3217558399823195,1.9364916731037085
74,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,5,3.32,1.199964782928397,1.8220867158288598
75,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,6,4.78,1.5644405465033646,2.186321110907545
76,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,7,3.44,1.235471471385307,1.8547236990991407
77,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,8,4.97,1.6034198401085373,2.2293496809607953
78,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,9,2.43,0.8878912573524571,1.5588457268119895
79,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,10,1.87,0.6259384308664954,1.3674794331177345
80,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,11,2.86,1.0508216248317612,1.6911534525287764
81,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,12,3.81,1.3376291891386096,1.9519221295943134
82,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,13,4.14,1.4206957878372228,2.0346989949375804
83,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,2.83,1.0402767116551463,1.6822603841260722
84,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,2.21,0.7929925155296614,1.4866068747318506
85,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,3.42,1.2296405510745139,1.849324200890693
86,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,2.76,1.0152306797290584,1.6613247725836149
87,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,2.76,1.0152306797290584,1.6613247725836149
88,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,2.99,1.095273387402595,1.7291616465790582
89,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,2.38,0.8671004876833833,1.5427248620541512
90,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,2.49,0.9122827104766164,1.57797338380595
91,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,2.3,0.8329091229351039,1.51657508881031
92,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,2.24,0.8064758658669485,1.4966629547095767
93,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,1.83,0.6043159668533296,1.3527749258468684
94,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,1.53,0.4252677354043441,1.2369316876852983
95,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,1,3.24,1.1755733298042381,1.8
96,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,2,3.74,1.3190856114264407,1.9339079605813716
97,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,3,4.61,1.5282278570085572,2.147091055358389
98,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,4,3.03,1.1085626195212777,1.740689518552921
99,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,5,3.18,1.1568811967920856,1.783255450012701
100,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,6,2.97,1.0885619528146082,1.7233687939614086
101,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,7,3.25,1.1786549963416462,1.8027756377319946
102,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,8,4.05,1.3987168811184478,2.0124611797498106
103,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,9,3.81,1.3376291891386096,1.9519221295943134
104,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,10,3.8,1.33500106673234,1.9493588689617927
105,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,11,3.87,1.3532545070416904,1.9672315572906003
106,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,12,3.38,1.2178757094949273,1.8384776310850235
107,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,13,3.39,1.220829921392359,1.841195263952197
108,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,14,3.9,1.3609765531356006,1.9748417658131499
109,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,1,2.97,1.0885619528146082,1.7233687939614086
110,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,2,3.1,1.1314021114911006,1.760681686165901
111,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,3,2.05,0.7178397931503168,1.4317821063276353
112,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,4,2.87,1.0543120297715298,1.6941074346097416
113,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,5,3.25,1.1786549963416462,1.8027756377319946
114,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,6,2.83,1.0402767116551463,1.6822603841260722
115,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,3.62,1.2864740258376797,1.9026297590440449
116,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,3.58,1.275362800412609,1.8920887928424501
117,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,3.77,1.3270750014599193,1.9416487838947598
118,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,4,2.73,1.0043016091968684,1.6522711641858305
119,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,2.93,1.075002423028976,1.711724276862369
120,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,3.26,1.1817271953786161,1.8055470085267789
121,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,6.61,1.888583653863595,2.570992026436488
122,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,3.37,1.2149127443642704,1.835755975068582
123,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,2.54,0.9321640810304452,1.5937377450509227
124,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,3.59,1.2781522025001875,1.8947295321496416
125,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,2.98,1.091923300517313,1.7262676501632068
126,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,2.85,1.0473189942805592,1.6881943016134133
127,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,2.92,1.0715836162801904,1.7088007490635062
128,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,2.83,1.0402767116551463,1.6822603841260722
129,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,2.26,0.8153648132841944,1.5033296378372907
130,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,3.49,1.2499017362143359,1.8681541692269406
131,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,3.12,1.1378330018213911,1.7663521732655694
132,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,3.81,1.3376291891386096,1.9519221295943134
133,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,2.43,0.8878912573524571,1.5588457268119895
134,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,2.62,0.9631743177730056,1.6186414056238645
