ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,spine_length,spine_length_log,spine_length_sqr
CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,2,3.29,1.4562867329399256,1.8138357147217055
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,4.01,1.6114359150967734,2.0024984394500787
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,4.07,1.623340817603092,2.0174241001832014
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,2.81,1.3376291891386096,1.676305461424021
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,3.5,1.5040773967762742,1.8708286933869707
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,2.55,1.2669476034873244,1.5968719422671311
CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,4.13,1.6351056591826783,2.0322401432901573
CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,4.11,1.631199404215613,2.0273134932713295
CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,6.88,2.064327903869788,2.6229754097208002
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,1.96,1.085189268335969,1.4
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,3.13,1.4182774069729414,1.7691806012954132
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,2.77,1.3270750014599193,1.6643316977093239
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,3.48,1.4996230464268938,1.865475810617763
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,3.19,1.4327007339340463,1.786057109949175
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,2.21,1.1662709371419244,1.4866068747318506
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,3.75,1.55814461804655,1.9364916731037085
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,3.32,1.463255402256019,1.8220867158288598
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,2.78,1.3297240096314962,1.6673332000533065
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,1.93,1.0750024230289759,1.3892443989449805
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,2.9,1.3609765531356006,1.70293863659264
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,3.11,1.413423028508143,1.7635192088548397
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,2.78,1.3297240096314962,1.6673332000533065
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,2,1.0986122886681098,1.4142135623730951
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,3.94,1.597365331199831,1.9849433241279208
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,4.62,1.7263316639055997,2.149418526020468
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,3.32,1.463255402256019,1.8220867158288598
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,3.64,1.534714366238164,1.9078784028338913
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,4.15,1.6389967146756448,2.0371548787463363
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,1.25,0.8109302162163288,1.118033988749895
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,1.44,0.8919980393051105,1.2
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,2.94,1.3711807233098425,1.7146428199482247
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,2.27,1.184789984909162,1.5066519173319364
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,1.96,1.085189268335969,1.4
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,3.17,1.4279160358107101,1.7804493814764855
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,3.44,1.4906543764441333,1.8547236990991407
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,3.66,1.5390154481375546,1.9131126469708992
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,2.56,1.269760544863939,1.6
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,2.67,1.3001916620664788,1.6340134638368191
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,3.19,1.4327007339340463,1.786057109949175
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,2.66,1.297463147413275,1.6309506430300091
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,2.71,1.3110318766193438,1.6462077633154328
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,3.79,1.5665304114228238,1.9467922333931784
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,1.97,1.0885619528146082,1.40356688476182
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,3.03,1.3937663759585914,1.740689518552921
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,2.76,1.324418957401803,1.6613247725836149
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,2.87,1.3532545070416904,1.6941074346097416
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,3.77,1.5623463049002497,1.9416487838947598
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,3.37,1.4747630091074988,1.835755975068582
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,3.27,1.451613827240533,1.8083141320025125
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,2.11,1.1346227261911428,1.452583904633395
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,0,0,0
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,3.14,1.420695787837223,1.772004514666935
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,2.64,1.2919836816486494,1.624807680927192
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,1.58,0.9477893989335261,1.2569805089976536
