ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,tip_distance,tip_distance_log,tip_distance_sqr
CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,2,7.61,2.152924318439639,2.7586228448267445
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,0,0,0
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,5.55,1.8794650496471605,2.355843797877949
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,6.31,1.9892432737616872,2.511971337416094
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,5.85,1.9242486522741338,2.4186773244895647
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,6.77,2.050270164379556,2.6019223662515376
CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,3.76,1.5602476682433286,1.9390719429665315
CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,9.14,2.316487998163037,3.023243291566195
CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,8.34,2.234306252240751,2.8879058156387303
CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,13.32,2.6616571615324998,3.6496575181789317
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.94,1.7817091333745536,2.222611077089287
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,6,1.9459101490553132,2.449489742783178
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,6.57,2.0241930674493576,2.563201123595259
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,5.73,1.9065751436566365,2.3937418407171647
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,6.73,2.0451088625993306,2.5942243542145698
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,6.17,1.969905654611529,2.483948469674844
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,7.12,2.0943301541735866,2.6683328128252666
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,6.21,1.9754689512968577,2.4919871588754225
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,6.66,2.0360119837525,2.5806975801127883
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,4.21,1.6505798557652755,2.0518284528683193
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,7.13,2.0955609235597192,2.670205984563738
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,6.38,1.998773638612381,2.5258661880630178
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,5.16,1.8180767775454285,2.2715633383201093
CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,3.55,1.5151272329628591,1.8841443681416772
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,9.16,2.318458442150336,3.026549190084311
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,8.77,2.2793164660546914,2.9614185789921694
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,6.3,1.9878743481543455,2.5099800796022267
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,7.98,2.194999882314108,2.824889378365107
CDRS_6215,Herbarium,1994,South America,island,Galapagos,Galapagos,San Cristobal,1,Loberia,10,7.99,2.196112848483529,2.826658805020514
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
