ind_num,Herb_name,Herb_number,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,flower_num,petal_length,country,province_state,location,latitude,longitude,scale,collection.date,collector,collection.no,Coordinate.notes,Measurer_note,Bio_1,Bio_4,Bio_12,Bio_15
1,Smithsonian,1550295,Smithsonian_1550295,1930,Africa,continent,NA,NA,NA,NA,1,16.132,Angola,NA,Mossamedes.,-15.200644,12.154237,21.2513,NA,ex herb. Servicos de Agricultura de Angola,NA,NA,NA,24.40833282,215.6263123,77,116.0516968
2,Smithsonian,1550295,Smithsonian_1550295,1930,Africa,continent,NA,NA,NA,NA,2,15.631,Angola,NA,Mossamedes.,-15.200644,12.154237,21.2513,NA,ex herb. Servicos de Agricultura de Angola,NA,NA,NA,24.40833282,215.6263123,77,116.0516968
3,Smithsonian,2819889,Smithsonian_2819889,1974,Africa,continent,NA,NA,NA,NA,1,17.569,Ethiopia,Sidamo,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA,18.77499962,76.32169342,1031,55.77271271
4,Smithsonian,2819889,Smithsonian_2819889,1974,Africa,continent,NA,NA,NA,NA,2,15.552,Ethiopia,Sidamo,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA,18.77499962,76.32169342,1031,55.77271271
5,Smithsonian,2819889,Smithsonian_2819889,1974,Africa,continent,NA,NA,NA,NA,3,17.304,Ethiopia,Sidamo,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,NA,NA,18.77499962,76.32169342,1031,55.77271271
6,Smithsonian,1379072,Smithsonian_1379072,1928,Africa,continent,NA,NA,NA,NA,1,18.549,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Nov 1928 to Apr 1929,"Hoover, W. H.",4,NA,NA,19.54999924,472.9645081,201,106.8972702
7,Smithsonian,1379072,Smithsonian_1379072,1928,Africa,continent,NA,NA,NA,NA,2,21.384,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Nov 1928 to Apr 1929,"Hoover, W. H.",4,NA,NA,19.54999924,472.9645081,201,106.8972702
8,Smithsonian,1379125,Smithsonian_1379125,1928,Africa,continent,NA,NA,NA,NA,1,19.66,Namibia,NA,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Nov 1928 to Apr 1929,"Hoover, W. H.",57,NA,NA,19.54999924,472.9645081,201,106.8972702
9,Smithsonian,1529409,Smithsonian_1529409,1931,Africa,continent,NA,NA,NA,NA,1,16.667,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,5-Apr-31,"Sordahl, L. O.",105,NA,NA,19.54999924,472.9645081,201,106.8972702
10,Smithsonian,1529409,Smithsonian_1529409,1931,Africa,continent,NA,NA,NA,NA,2,17.848,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,5-Apr-31,"Sordahl, L. O.",105,NA,NA,19.54999924,472.9645081,201,106.8972702
11,Smithsonian,1529409,Smithsonian_1529409,1931,Africa,continent,NA,NA,NA,NA,3,12.661,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,5-Apr-31,"Sordahl, L. O.",105,NA,NA,19.54999924,472.9645081,201,106.8972702
12,Smithsonian,1529451,Smithsonian_1529451,1930,Africa,continent,NA,NA,NA,NA,1,24.691,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,NA,19.54999924,472.9645081,201,106.8972702
13,Smithsonian,1529451,Smithsonian_1529451,1930,Africa,continent,NA,NA,NA,NA,2,21.372,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,NA,19.54999924,472.9645081,201,106.8972702
14,Smithsonian,1529451,Smithsonian_1529451,1930,Africa,continent,NA,NA,NA,NA,3,26.831,Namibia,NA,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Mar 1930 to May 1931,"Sordahl, L. O.",6433,NA,NA,19.54999924,472.9645081,201,106.8972702
15,Smithsonian,2776546,Smithsonian_2776546,1968,Africa,island,other,Aldabra,NA,NA,1,10.681,Seychelles,NA,Aldabra: West Island. Settlement.,-9.381938,46.218295,21.2513,20-Mar-68,"Renvoize, S. A.",1351,NA,NA,26.38333321,114.4022598,981,78.99415588
16,Smithsonian,2776547,Smithsonian_2776547,1967,Africa,island,other,Assumption,NA,NA,1,10.102,Seychelles,NA,South-West Indian Ocean. Assumption Island. Traverse of island.,-9.729705,46.514756,21.2513,16-Sep-67,"Stoddart, D. R.",1080,NA,NA,26.54999924,115.5225372,954,82.32311249
17,Smithsonian,2776548,Smithsonian_2776548,1968,Africa,island,other,Cosmoledo,NA,NA,1,10.289,Seychelles,NA,Aldabra. Cosmoledo: Wizard Island.,-9.719911,47.577558,21.2513,6-Mar-68,"Renvoize, S. A.",1225,NA,NA,26.69035912,121.4727478,1042.377197,71.78424835
18,Smithsonian,2810786,Smithsonian_2810786,1974,Africa,continent,NA,NA,NA,NA,1,12.349,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,11-Aug-74,"Frazier, J.",1074,NA,NA,26.30416679,149.232254,1083,79.13226318
19,Smithsonian,2810786,Smithsonian_2810786,1974,Africa,continent,NA,NA,NA,NA,2,11.549,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,11-Aug-74,"Frazier, J.",1074,NA,NA,26.30416679,149.232254,1083,79.13226318
20,Smithsonian,2810861,Smithsonian_2810861,1974,Africa,continent,NA,NA,NA,NA,1,13.646,Tanzania,Tanga,"Mbigiri (Zanzitari) South of Mto Kama, 12 km south of Mkwaja Tanga Region.",-5.093046,39.0947,21.2513,13-Sep-74,"Frazier, J.",1117,NA,NA,26.91250038,147.973053,1305,75.02989197
21,HUH,3145,HUH_3145,1934,Africa ,island,other,Barlavento Islands,NA,NA,1,15.161,Cape Verde,NA,"Monte Verde, São Vicente island",16.8684276,-24.9329397,18.2528,17-Oct,Max Dinklage,3145,NA,NA,21.32500076,184.0269165,282,136.2256165
22,HUH,09.31.45 228,HUH_09.31.45 228,1964,Africa ,continent,NA,NA,NA,NA,1,23.821,Ghana,Greater Accra,"Ring road roundabout, Accra ",5.5912087,-0.1797295,18.2528,31-May,A.A. Ruti,NA,NA,NA,27.29999924,116.9887314,882,71.23297119
23,HUH,09.31.45 228,HUH_09.31.45 228,1964,Africa ,continent,NA,NA,NA,NA,2,21.049,Ghana,Greater Accra,"Ring road roundabout, Accra ",5.5912087,-0.1797295,18.2528,31-May,A.A. Ruti,NA,NA,NA,27.29999924,116.9887314,882,71.23297119
24,HUH,09.31.45 228,HUH_09.31.45 228,1964,Africa ,continent,NA,NA,NA,NA,3,23.888,Ghana,Greater Accra,"Ring road roundabout, Accra ",5.5912087,-0.1797295,18.2528,31-May,A.A. Ruti,NA,NA,segmented from stem,27.29999924,116.9887314,882,71.23297119
25,HUH,09.31.36 226,HUH_09.31.36 226,1973,Africa ,island,other,Tanzanian archipelago of Zanzibar,NA,NA,1,11.666,Tanzania ,Rufiji," Shungu Mbili, a private Island just off Mafia Island ",-7.7,39.683333,18.2528,31-Oct,J. Frazier,NA,Provided with DDM coordinates. Used Weigelt Et. Al coordinates for Jibondo Island,NA,26.9,,1578,87
26,HUH,09.31.39 227,HUH_09.31.39 227,1974,Africa ,island,other,NA,NA,NA,1,10.533,Tanzania ,Zanzibar,"South of Mto Kama, 12km south of Mkwaja Tanga region",-5.79004456,38.84964296,18.2528,13-Sep,J. Frazier,1117,Unclear about location. Mkwaja coordinates,only flower- already used (1117) so file name used,27.40833282,134.4658203,920,41.28332901
27,HUH,2324,HUH_2324,1953,Asia,island,other,Philippines,NA,NA,1,16.636,Philipines,NA,NA,12.879721,121.774017,18.2528,3-Apr,NA,NA,Added whole country coordinates,NA,27.35833359,90.52458191,2183,58.05737305
28,HUH,2324,HUH_2324,1953,Asia,island,other,Philippines,NA,NA,2,14.898,Philipines,NA,NA,12.879721,121.774017,18.2528,3-Apr,A. H. Shiffers (spelling?),2324,Added whole country coordinates,NA,27.35833359,90.52458191,2183,58.05737305
29,Smithsonian,706203,Smithsonian_706203,1908,Asia,island,other,Philippines,NA,NA,1,16.4,Philippines,NA,Tayabas.,14.040984,121.630902,21.2584,Apr,"Curran, H. M.",Forestry Bureau 1115,NA,NA,26.47916603,110.174614,2133,55.29187393
30,Smithsonian,706203,Smithsonian_706203,1908,Asia,island,other,Philippines,NA,NA,2,16.279,Philippines,NA,Tayabas.,14.040984,121.630902,21.2584,Apr,"Curran, H. M.",Forestry Bureau 1115,NA,NA,26.47916603,110.174614,2133,55.29187393
31,HUH,1725,HUH_1725,1958,Asia,island,other,Sri Lanka,NA,NA,1,14.14,Sri Lanka,NA,"Peradeniya, Ceylon",7.2698653,80.593833,18.2528,23-May,D.M.A Jayaweera,1725,Grown in cultivation. Peradeniya coordinates,Assumed originally colelcted from Sri Lanka,24.72083282,75.72253418,2404,38.16921234
32,Smithsonian,2698458,Smithsonian_2698458,1970,Asia,island,other,Sri Lanka,NA,NA,1,22.1,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,8-Nov-70,"Fosberg, F. R.",52700,NA,NA,24.62083435,78.55102539,2347,38.7537117
33,Smithsonian,2698458,Smithsonian_2698458,1970,Asia,island,other,Sri Lanka,NA,NA,2,20.472,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,8-Nov-70,"Fosberg, F. R.",52700,NA,NA,24.62083435,78.55102539,2347,38.7537117
34,Smithsonian,2698458,Smithsonian_2698458,1970,Asia,island,other,Sri Lanka,NA,NA,3,20.116,Sri Lanka,NA,"Ceylon, Kandy District, Between Kandy and Peradeniya, Planted in front of Maternity Home.",7.281163,80.616968,21.2513,8-Nov-70,"Fosberg, F. R.",52700,NA,NA,24.62083435,78.55102539,2347,38.7537117
35,Smithsonian,2721838,Smithsonian_2721838,1970,Asia,island,other,Sri Lanka,NA,NA,1,18.992,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,24.50833321,77.71840668,2354,38.59447098
36,Smithsonian,2721838,Smithsonian_2721838,1970,Asia,island,other,Sri Lanka,NA,NA,2,17.761,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,24.50833321,77.71840668,2354,38.59447098
37,Smithsonian,2721838,Smithsonian_2721838,1970,Asia,island,other,Sri Lanka,NA,NA,3,16.904,Sri Lanka,Central,"Ceylon, Katukelle, Kandy, Central P.",7.289546,80.624859,21.2513,28-Jul-70,"Dassanayake, M. D.",163,NA,NA,24.50833321,77.71840668,2354,38.59447098
38,Smithsonian,2760454,Smithsonian_2760454,1969,Asia,island,other,Sri Lanka,NA,NA,1,19.677,Sri Lanka,NA,"Ceylon, Colombo, Planted as an ornamental in U.S. Embassy grounds.",6.91317,79.848433,21.2513,20-Dec-69,"Fosberg, F. R.",51786,NA,NA,27.727705,56.47779083,2410.205566,54.37607574
