ID,Herb_name,Herb_number,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,country,location,length,width,depth,tip_distance,Temp,Temp_S,Prec,varP
CAS_324635,CAS,324635,Herbarium,1942,South America,island,Galapagos,Galapagos,Baltra,0,Ecuador,NA,5.06,3.642,4.508,NA,24.35000038,155.2710266,188,96.07951355
CAS_34021,CAS,34021,Herbarium,1899,South America,island,Galapagos,Galapagos,Isabela,1,Ecuador,NA,5.154285714285714,3.341428571428571,4.722857142857142,NA,19.799999239999998,128.2752686,345,83.07010651
CAS_34022,CAS,34022,Herbarium,1899,South America,island,Galapagos,Galapagos,Espanola,0,Ecuador,NA,6.408571428571428,2.8385714285714285,4.727142857142857,NA,23.25,179.684082,547,76.27940369
CAS_34024,CAS,34024,Herbarium,1899,South America,island,Galapagos,Galapagos,Floreana,0,Ecuador,NA,7.496666666666666,3.93,6.27,12.94,21.97916603,178.1656189,519,46.81369019
CAS_461168,CAS,461168,Herbarium,1932,South America,island,Galapagos,Galapagos,Baltra,0,Ecuador,NA,6.442,3.291,5.438,NA,24.35000038,155.2710266,188,96.07951355
CAS_461169,CAS,461169,Herbarium,1932,South America,island,Galapagos,Galapagos,Santiago,1,Ecuador,NA,4.7780000000000005,3.206,4.462,NA,22.69583321,151.0637817,247,78.51528931
CAS_461173,CAS,461173,Herbarium,1932,South America,island,Galapagos,Galapagos,Santiago,1,Ecuador,NA,7.318,4.03,6.388,9.509,22.69583321,151.0637817,247,78.51528931
CAS_461174,CAS,461174,Herbarium,1932,South America,island,Galapagos,Galapagos,Floreana,0,Ecuador,NA,7.847,3.419,5.588,11.502,21.97916603,178.1656189,519,46.81369019
CAS_461175,CAS,461175,Herbarium,1932,South America,island,Galapagos,Galapagos,Isabela,1,Ecuador,NA,5.048,2.834,4.754,9.653,19.799999239999998,128.2752686,345,83.07010651
CAS_496955,CAS,496955,Herbarium,1967,South America,island,Galapagos,Galapagos,Campeon,0,Ecuador,Campeon,6.83,3.36,5.28,7.47,23.75833321,175.4841919,365,65.91323853
CAS_56623,CAS,56623,Herbarium,1905,South America,island,Galapagos,Galapagos,Fernandina,1,Ecuador,NA,5.45125,3.1437500000000003,NA,NA,22.37916756,130.9312439,310,79.1166153
CAS_56634,CAS,56634,Herbarium,1905,South America,island,Galapagos,Galapagos,Floreana,0,Ecuador,NA,7.3475,3.50375,5.505,NA,21.97916603,178.1656189,519,46.81369019
CAS_741302,CAS,741302,Herbarium,1964,South America,island,Galapagos,Galapagos,Santa Cruz,1,Ecuador,NA,4.093333333333334,2.398888888888889,3.427777777777778,NA,23.87083435,182.3141632,279,86.23344421
CDRS_12628,CDRS,12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Ecuador,Bainbridge,4.665,1.8399999999999999,4.17,2.685,24.60941696,151.0727997,177.7751617,102.5722046
