mericarp_num,ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,length,width,depth,spine_length,tip_distance,spine_num,lower_spines
1,CDRS_92,Herbarium,1963,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,2,4.5,1.91,3.21,3.29,7.61,2,0
2,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,12.83,5.28,5.2,0,0,2,0
3,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,13.89,4.48,5.31,0,0,2,0
4,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,11.54,3.93,7.08,0,0,2,0
5,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,12.71,4.78,5.94,0,0,2,0
6,CDRS_3183,Herbarium,1983,South America,island,Galapagos,Galapagos,Darwin,0,Culpepper,4,14.63,5.03,5.5,0,0,2,0
7,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,7.23,2.74,4.95,4.01,5.55,4,1
8,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,7.38,2.93,4.95,4.07,6.31,4,1
9,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,6.24,2.53,4.22,2.81,5.85,4,1
10,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,7.24,2.66,4.72,3.5,6.77,4,1
11,CDRS_3184,Herbarium,1983,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Daphne Mayor,5,6.02,2.44,4.32,2.55,3.76,4,1
12,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,7.54,2.93,4.89,4.13,9.14,4,1
13,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,6.19,2.78,4.23,4.11,8.34,4,1
14,CDRS_4408,Herbarium,1984,South America,island,Galapagos,Galapagos,Santa Cruz,1,Puerto Ayora,6,7.68,3.36,5.24,6.88,13.32,4,1
15,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,5.08,2.13,4.17,1.96,4.94,2,0
16,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,6.32,2.78,4.48,3.13,6,2,0
17,CDRS_4711,Herbarium,1985,South America,island,Galapagos,Galapagos,Pinta,1,Camp site,7,6.9,2.8,4.78,2.77,6.57,2,0
