ID,flower.no,petal_length,mainland_island,island_group,galapagos_island,galapagos_Other,finch_beak,year_collected,continent,country,province.state,location,latitude,longitude,scale,Herbarium,collection.date,collector,collection.no,Coordinate.notes,Measurer_note
1550295,1,16.132,mainland,,,,,1930,Africa,Angola,,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,,ex herb. Servicos de Agricultura de Angola,s.n.,,NA
1550295,2,15.631,mainland,,,,,1930,Africa,Angola,,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,,ex herb. Servicos de Agricultura de Angola,s.n.,,NA
2819889,1,17.569,mainland,,,,,1974,Africa,Ethiopia,Sidamo,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,,NA
2819889,2,15.552,mainland,,,,,1974,Africa,Ethiopia,Sidamo,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,,NA
2819889,3,17.304,mainland,,,,,1974,Africa,Ethiopia,Sidamo,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,,NA
1379072,1,18.549,mainland,,,,,1928,Africa,Namibia,,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,,NA
1379072,2,21.384,mainland,,,,,1928,Africa,Namibia,,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,,NA
1379125,1,19.66,mainland,,,,,1928,Africa,Namibia,,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",57,,NA
1529409,1,16.667,mainland,,,,,1931,Africa,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,,NA
1529409,2,17.848,mainland,,,,,1931,Africa,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,,NA
1529409,3,12.661,mainland,,,,,1931,Africa,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,,NA
1529451,1,24.691,mainland,,,,,1930,Africa,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,,NA
1529451,2,21.372,mainland,,,,,1930,Africa,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,,NA
1529451,3,26.831,mainland,,,,,1930,Africa,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,Mar 1930 to May 1931,"Sordahl, L. O.",6433,,NA
2776546,1,10.681,island,Aldabra,,no,,1968,Africa,Seychelles,,Aldabra: West Island. Settlement.,-9.381938,46.218295,21.2513,Smithsonian,20-Mar-68,"Renvoize, S. A.",1351,,NA
2776547,1,10.102,island,Assumption,,no,,1967,Africa,Seychelles,,South-West Indian Ocean. Assumption Island. Traverse of island.,-9.729705,46.514756,21.2513,Smithsonian,16-Sep-67,"Stoddart, D. R.",1080,,NA
2776548,1,10.289,island,Cosmoledo,,no,,1968,Africa,Seychelles,,Aldabra. Cosmoledo: Wizard Island.,-9.719911,47.577558,21.2513,Smithsonian,6-Mar-68,"Renvoize, S. A.",1225,,NA
2810786,1,12.349,mainland,,,,,1974,Africa,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,,NA
2810786,2,11.549,mainland,,,,,1974,Africa,Tanzania,Dar es Salaam,Ras Chokir (beach between hospital and state House).,-6.787632,39.277742,21.2513,Smithsonian,11-Aug-74,"Frazier, J.",1074,,NA
2810861,1,13.646,mainland,,,,,1974,Africa,Tanzania,Tanga,"Mbigiri (Zanzitari) South of Mto Kama, 12 km south of Mkwaja Tanga Region.",-5.093046,39.0947,21.2513,Smithsonian,13-Sep-74,"Frazier, J.",1117,,NA
3145,1,15.161,island,Barlavento Islands,,no,,1934,Africa ,Cape Verde,,"Monte Verde, São Vicente island",16.8684276,-24.9329397,18.2528,HUH,17-Oct,Max Dinklage,3145,,
09.31.45 228,1,23.821,mainland,,,,,1964,Africa ,Ghana,Greater Accra,"Ring road roundabout, Accra ",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,,,
09.31.45 228,2,21.049,mainland,,,,,1964,Africa ,Ghana,Greater Accra,"Ring road roundabout, Accra ",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,,,
09.31.45 228,3,23.888,mainland,,,,,1964,Africa ,Ghana,Greater Accra,"Ring road roundabout, Accra ",5.5912087,-0.1797295,18.2528,HUH,31-May,A.A. Ruti,,,segmented from stem
09.31.36 226,1,11.666,island,Tanzanian archipelago of Zanzibar,,no,,1973,Africa ,Tanzania ,Rufiji ," Shungu Mbili, a private Island just off Mafia Island ",-7.7,39.683333,18.2528,HUH,31-Oct,J. Frazier,,Provided with DDM coordinates,
09.31.39 227,1,10.533,mainland,,,no,,1974,Africa ,Tanzania ,Zanzibar ,"South of Mto Kama, 12km south of Mkwaja Tanga region",NA,NA,18.2528,HUH,13-Sep,J. Frazier,1117,Unclear about location,only flower- already used (1117) so file name used
2324,1,16.636,island,Philippines,no,no,,1953,Asia,Philipines,,,NA,NA,18.2528,HUH,3-Apr,,,,
2324,2,14.898,island,Philippines,no,no,,1953,Asia,Philipines,,,NA,NA,18.2528,HUH,3-Apr,A. H. Shiffers (spelling?),2324,,
