ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,leaf_num,leaf.length,leaflet.length,number.of.leaflets,country,province.state,location,latitude,longitude,scale,herbarium,date,collector,collection.no,coordinate.notes,measurer_note
1,1550295,1930,Africa,mainland,other,,,,1,16.941,4.735,14,Angola,,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,1930,ex herb. Servicos de Agricultura de Angola,s.n.,,
2,1550295,1930,Africa,mainland,other,,,,2,34.014,9.34,14,Angola,,Mossamedes.,-15.200644,12.154237,21.2513,Smithsonian,1930,ex herb. Servicos de Agricultura de Angola,s.n.,,1 leaf down the flower
3,2819889,1974,Africa,mainland,other,,,,1,46.498,18.184,10,Ethiopia,,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,,
4,2819889,1974,Africa,mainland,other,,,,2,48.775,17.414,10,Ethiopia,,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,,
5,2819889,1974,Africa,mainland,other,,,,3,53.393,22.973,12,Ethiopia,,"46 miles S. E. of Neghelle 3930:05.20, on road to Filtu, and Dolo. Square 111.C. Sidamo province; ""Borana"".",6.520579,39.236729,21.2513,Smithsonian,Transcribed d/m/y: 16/4/74,"Ash, J.",Ash 2420,,
6,1379072,1928,Africa,mainland,other,,,,1,43.102,8.25,14,Namibia,,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,,
7,1379072,1928,Africa,mainland,other,,,,2,44.735,11.628,14,Namibia,,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",4,,1 leaf down the flower
8,1379125,1928,Africa,mainland,other,,,,1,16.7,5.715,11,Namibia,,Southwest Africa. Mount Boukkaros.,-25.867765,17.781629,21.2513,Smithsonian,Nov 1928 to Apr 1929,"Hoover, W. H.",57,,
9,1529409,1931,Africa,mainland,other,,,,1,33.46,6.893,16,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,,1 leaf down the flower
10,1529409,1931,Africa,mainland,other,,,,2,43.827,10.576,16,Namibia,,Southwest Africa. Mount Brukkaros and vicinity.,-25.867765,17.781629,21.2513,Smithsonian,5-Apr-31,"Sordahl, L. O.",105,,
